biz_date,biz_hour,post_count
20151230,18,6206
20151230,19,2864
20151230,20,1736
20151230,21,842
20151230,22,603
20151230,23,168
20151231,00,139
20151231,01,51
20151231,02,22
20151231,03,28
20151231,06,89
20151231,07,385
20151231,08,8352
20151231,09,32235
20151231,10,37464
20151231,11,30888
20151231,12,20719
20151231,13,12892
20151231,14,13178
20151231,15,16581
20151231,16,15556
20151231,17,9672
20151231,18,5689
20151231,19,2549
20151231,20,1586
20151231,21,914
20151231,22,349
20151231,23,107
20160101,00,102
20160101,01,23
20160101,02,14
20160101,03,15
20160101,05,8
20160101,06,39
20160101,07,529
20160101,08,6479
20160101,09,25920
20160101,10,34608
20160101,11,28915
20160101,12,18925
20160101,13,12590
20160101,14,12293
20160101,15,14068
20160101,16,12211
20160101,17,8229
20160101,18,4483
20160101,19,1899
20160101,20,1067
20160101,21,663
20160101,22,239
20160101,23,122
20160102,00,44
20160102,01,39
20160102,03,7
20160102,04,1
20160102,05,26
20160102,06,16
20160102,07,746
20160102,08,8677
20160102,09,25698
20160102,10,29363
20160102,11,23774
20160102,12,16643
20160102,13,11160
20160102,14,11111
20160102,15,12483
20160102,16,11167
20160102,17,7351
20160102,18,3889
20160102,19,1977
20160102,20,1136
20160102,21,547
20160102,22,288
20160102,23,157
20160103,00,24
20160103,01,1
20160103,02,35
20160103,03,8
20160103,05,27
20160103,06,59
20160103,07,615
20160103,08,8034
20160103,09,25364
20160103,10,27834
20160103,11,21223
20160103,12,13149
20160103,13,9920
20160103,14,10925
20160103,15,12117
20160103,16,10274
20160103,17,6284
20160103,18,3033
20160103,19,1486
20160103,20,830
20160103,21,416
20160103,22,225
20160103,23,189
20160104,00,31
20160104,03,5
20160104,05,9
20160104,06,26
20160104,07,700
20160104,08,9850
20160104,09,30656
20160104,10,34700
20160104,11,28203
20160104,12,19839
20160104,13,12717
20160104,14,13116
20160104,15,15791
20160104,16,13438
20160104,17,8144
20160104,18,4622
20160104,19,2256
20160104,20,1290
20160104,21,798
20160104,22,360
20160104,23,107
20160105,00,27
20160105,01,24
20160105,03,28
20160105,04,15
20160105,05,9
20160105,06,51
20160105,07,358
20160105,08,7624
20160105,09,30733
20160105,10,37270
20160105,11,30880
20160105,12,20882
20160105,13,12541
20160105,14,13123
20160105,15,17123
20160105,16,15050
20160105,17,10077
20160105,18,5551
20160105,19,2848
20160105,20,1640
20160105,21,1018
20160105,22,266
20160105,23,144
20160106,00,8
20160106,01,4
20160106,02,10
20160106,04,11
20160106,05,13
20160106,06,63
20160106,07,412
20160106,08,7168
20160106,09,30776
20160106,10,41733
20160106,11,36082
20160106,12,24094
20160106,13,15401
20160106,14,14873
20160106,15,19154
20160106,16,17898
20160106,17,11675
20160106,18,6860
20160106,19,3912
20160106,20,2076
20160106,21,1139
20160106,22,508
20160106,23,268
20160107,00,36
20160107,01,17
20160107,02,4
20160107,03,12
20160107,04,14
20160107,05,2
20160107,06,75
20160107,07,538
20160107,08,7568
20160107,09,32971
20160107,10,41100
20160107,11,35260
20160107,12,24204
20160107,13,15509
20160107,14,14859
20160107,15,18883
20160107,16,17750
20160107,17,11812
20160107,18,7127
20160107,19,3700
20160107,20,2012
20160107,21,1443
20160107,22,593
20160107,23,229
20160108,00,53
20160108,01,36
20160108,03,16
20160108,04,17
20160108,05,5
20160108,06,50
20160108,07,661
20160108,08,7601
20160108,09,32584
20160108,10,41353
20160108,11,35201
20160108,12,25628
20160108,13,15448
20160108,14,15438
20160108,15,18509
20160108,16,16894
20160108,17,11284
20160108,18,7025
20160108,19,3454
20160108,20,1966
20160108,21,1086
20160108,22,574
20160108,23,220
20160109,00,29
20160109,01,22
20160109,05,24
20160109,06,65
20160109,07,670
20160109,08,7328
20160109,09,29720
20160109,10,39467
20160109,11,34477
20160109,12,23837
20160109,13,16169
20160109,14,15105
