853,8,415104
854,9,768684
855,10,778170
856,11,579814
857,12,366282
858,13,273743
859,14,349315
860,15,423169
861,16,352862
862,17,216589
863,18,116877
864,19,57238
865,20,29068
866,21,13582
867,22,7172
868,23,2643
869,0,875
870,1,347
871,2,140
872,3,23
873,4,104
874,5,547
875,6,4766
876,7,51706
877,8,444783
878,9,840695
879,10,833622
880,11,638145
881,12,426033
882,13,297376
883,14,345674
884,15,417783
885,16,353729
886,17,222336
887,18,125650
888,19,60282
889,20,29999
890,21,15186
891,22,7463
892,23,3494
893,0,1023
894,1,291
895,2,114
896,3,109
897,4,113
898,5,464
899,6,3515
900,7,39443
901,8,436638
902,9,875568
903,10,887414
904,11,679492
905,12,427494
906,13,289454
907,14,342570
908,15,437708
909,16,365600
910,17,227422
911,18,123754
912,19,57463
913,20,26883
914,21,12439
915,22,5549
916,23,2411
917,0,794
918,1,423
919,2,35
920,3,59
921,4,56
922,5,460
923,6,3555
924,7,35899
925,8,419632
926,9,880608
927,10,904455
928,11,713044
929,12,443815
930,13,287164
931,14,344542
932,15,449323
933,16,385002
934,17,247812
935,18,137932
936,19,62814
937,20,29220
938,21,13214
939,22,5352
940,23,1991
941,24,10
942,0,691
943,1,471
944,2,267
945,3,105
946,4,66
947,5,705
948,6,3679
949,7,33685
950,8,411314
951,9,884998
952,10,933791
953,11,726378
954,12,465074
955,13,302772
956,14,361187
957,15,471379
958,16,411412
959,17,266809
960,18,145260
961,19,66590
962,20,28964
963,21,13530
964,22,5008
965,23,2197
966,0,708
967,1,377
968,2,118
969,3,111
970,4,107
971,5,616
972,6,3081
973,7,30468
974,8,388823
975,9,881962
976,10,956211
977,11,772759
978,12,506065
979,13,327725
980,14,362555
981,15,476175
982,16,424590
983,17,286481
984,18,160743
985,19,74750
986,20,32726
987,21,14441
988,22,5634
989,23,1961
990,0,814
991,1,282
992,2,155
993,3,93
994,4,64
